Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ
Kim ¤ CÈm Lan Ch©u Liªn	0	4	1	\spr\item\equip\nick\obj-neck24.spr	36	2	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(1)	2	99999	10	0																						36	120	39	0									955	935	976	1178	998	1295	198	139	1	1540	1275					
Kim ¤ CÈm Lan T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap22.spr	28	2	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(2)	1	99999	10	0	30	360	360	31	85	85																36	120	39	0									956	855	975	1018	1335	1295	198	139	2	1428	1275					
Kim ¤ CÈm Lan Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring21.spr	37	1	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(3)	3	99999	10	0																						36	120	39	0									955	895	976	1198	1335	1295	198	139	3	130						
Kim ¤ CÈm Lan Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle21.spr	34	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(4)	4	99999	10	0	30	135	135	31	80	80																36	120	39	0									956	875	975	1018	1335	1295	198	139	4	1428	1275					
Kim ¤ CÈm Lan Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash21.spr	33	2	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(5)	0	99999	10	0	30	160	160	31	80	80																36	120	39	0									956	915	976	1218	1335	1295	198	139	5	1541	1275					
Kim ¤ CÈm Lan Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth22.spr	22	2	3	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(6)	2	99999	10	0	30	720	720	31	90	90																36	120	39	0									956	935	976	1178	1237	1295	198	139	6	1428	1767					
Kim ¤ CÈm Lan TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove01.spr	9	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(7)	1	99999	10	0	28	1	1	29	1	1	167	-30	-30	31	99	99										36	120	39	0									1278	855	1078	1018	1335	1295	198	139	7	1428	130					
Kim ¤ CÈm Lan T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes21.spr	26	2	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(8)	3	99999	10	0	30	160	160	31	80	80																36	120	39	0									956	895	976	1198	1258	1295	198	139	8	1428	1275					
Kim ¤ CÈm Lan Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist25.spr	36	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(9)	4	99999	10	0																						36	120	39	0									955	875	975	1018	1335	1295	198	139	9	1542	1275					
Kim ¤ CÈm Lan H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring22.spr	37	1	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(10)	0	99999	10	0																						36	120	39	0									955	915	975	1218	1335	1295	198	139	10	130						
Kim ¤ Giµ Lam PhËt Ch©u	0	4	1	\spr\item\equip\nick\obj-neck24.spr	36	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(1)	4	99999	10	0																						36	120	39	0									955	935	976	1178	998	1295	199	140	1	1543	1275					
Kim ¤ Giµ Lam T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap22.spr	28	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	0									956	855	975	1018	1335	1295	199	140	2	1428	1275					
Kim ¤ Giµ Lam Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring21.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(3)	2	99999	10	0																						36	120	39	0									955	895	976	1198	1335	1295	199	140	3	130						
Kim ¤ Giµ Lam Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle21.spr	34	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	0									956	875	975	1018	1335	1295	199	140	4	1428	1275					
Kim ¤ Giµ Lam Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash21.spr	33	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	0									956	915	976	1218	1335	1295	199	140	5	1544	1275					
Kim ¤ Giµ Lam Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth22.spr	22	2	3	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	0									956	935	976	1178	1237	1295	199	140	6	1428	1275					
Kim ¤ Giµ Lam T¨ng C«n	0	0	2	\spr\item\equip\closeweapon\obj-staff15.spr	11	1	4	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(7)	0	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	120	39	0									1352	855	1078	1018	1335	1295	199	140	7	1428	130					
Kim ¤ Giµ Lam T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes21.spr	26	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	0									956	895	976	1198	1258	1295	199	140	8	1428	1730					
Kim ¤ Giµ Lam Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist25.spr	36	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(9)	1	99999	10	0																						36	120	39	0									955	875	975	1018	1335	1295	199	140	9	1545	1275					
Kim ¤ Giµ Lam H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring22.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(10)	3	99999	10	0																						36	120	39	0									955	915	975	1218	1335	1295	199	140	10	130						
Kim ¤ Bµn Nh­îc H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck24.spr	36	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(1)	4	99999	10	0																						36	120	39	0									955	935	976	1178	998	1295	200	141	1	1543	1275					
Kim ¤ Bµn Nh­îc T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap22.spr	28	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	0									956	855	975	1018	1335	1295	200	141	2	1428	1275					
Kim ¤ Bµn Nh­îc Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring21.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(3)	2	99999	10	0																						36	120	39	0									955	895	976	1198	1335	1295	200	141	3	130						
Kim ¤ Bµn Nh­îc Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle21.spr	34	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	0									956	875	975	1018	1335	1295	200	141	4	1428	1731					
Kim ¤ Bµn Nh­îc Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash21.spr	33	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	0									956	915	976	1218	1335	1295	200	141	5	1546	1275					
Kim ¤ Bµn Nh­îc Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth22.spr	22	2	3	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	0									956	935	976	1178	1237	1295	200	141	6	1428	1275					
Kim ¤ Bµn Nh­îc Giíi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	0									1352	855	1078	1018	1335	1295	200	141	7	1428	130					
Kim ¤ Bµn Nh­îc T¨ng Hµi	0	5	1	\spr\item\equip\boots\obj-shoes21.spr	26	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	0									956	895	976	1198	1258	1295	200	141	8	1428	1275					
Kim ¤ Bµn Nh­îc Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist25.spr	36	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(9)	1	99999	10	0																						36	120	39	0									955	875	975	1018	1335	1295	200	141	9	1547	1275					
Kim ¤ Bµn Nh­îc H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring22.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(10)	3	99999	10	0																						36	120	39	0									955	915	975	1218	1335	1295	200	141	10	130						
Kim ¤ ChÊn Nh¹c Liªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(1)	0	99999	10	0																						36	120	39	1									955	855	976	1018	998	1295	201	142	1	1548	1275					
Kim ¤ ChÊn Nh¹c Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap23.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	1									956	895	975	1198	1335	1295	201	142	2	1438	1275					
Kim ¤ ChÊn Nh¹c Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(3)	1	99999	10	0																						36	120	39	1									955	875	976	1018	1335	1295	201	142	3	130						
Kim ¤ ChÊn Nh¹c Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle22.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	1									956	915	975	1218	1335	1295	201	142	4	1438	1275					
Kim ¤ ChÊn Nh¹c Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash22.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	1									956	935	976	1178	1335	1295	201	142	5	1549	1275					
Kim ¤ ChÊn Nh¹c Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth23.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	1									956	855	976	1018	1237	1295	201	142	6	1438	1732					
Kim ¤ ChÊn Nh¹c Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha05.spr	13	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(7)	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	120	39	1									1278	895	1078	1198	1320	1295	201	142	7	1438	130					
Kim ¤ ChÊn Nh¹c Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes22.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	1									956	875	976	1018	1258	1295	201	142	8	1438	1275					
Kim ¤ ChÊn Nh¹c Béi	0	9	1	\spr\item\equip\waist\obj-waist22.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(9)	3	99999	10	0																						36	120	39	1									955	915	975	1218	1335	1295	201	142	9	1550	1275					
Kim ¤ ChÊn Nh¹c H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(10)	4	99999	10	0																						36	120	39	1									955	935	975	1178	1335	1295	201	142	10	130						
Kim ¤ ChiÕu §¶m H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(1)	0	99999	10	0																						36	120	39	1									955	855	976	1018	998	1295	202	143	1	1552	1275					
Kim ¤ ChiÕu §¶m Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap23.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	1									956	895	975	1198	1335	1295	202	143	2	1438	1275					
Kim ¤ ChiÕu §¶m Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(3)	1	99999	10	0																						36	120	39	1									955	875	976	1018	1335	1295	202	143	3	130						
Kim ¤ ChiÕu §¶m Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle22.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	1									956	915	975	1218	1335	1295	202	143	4	1438	1275					
Kim ¤ ChiÕu §¶m Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash22.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	1									956	935	976	1178	1335	1295	202	143	5	1553	1275					
Kim ¤ ChiÕu §¶m Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth23.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	1									956	855	976	1018	1237	1295	202	143	6	1438	1275					
Kim ¤ ChiÕu §¶m Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear05.spr	12	1	4	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(7)	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	120	39	1									1278	895	1078	1198	1320	1295	202	143	7	1438	130					
Kim ¤ ChiÕu §¶m Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes22.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	1									956	875	976	1018	1258	1295	202	143	8	1438	1733					
Kim ¤ ChiÕu §¶m Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist22.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(9)	3	99999	10	0																						36	120	39	1									955	915	975	1218	1335	1295	202	143	9	1554	1275					
Kim ¤ ChiÕu §¶m H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(10)	4	99999	10	0																						36	120	39	1									955	935	975	1178	1335	1295	202	143	10	130						
Kim ¤ LÞch HuyÕt H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(1)	0	99999	10	0																						36	120	39	1									955	855	976	1018	998	1295	203	144	1	1556	1275					
Kim ¤ LÞch HuyÕt Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap23.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	1									956	895	975	1198	1335	1295	203	144	2	1438	1734					
Kim ¤ LÞch HuyÕt Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(3)	1	99999	10	0																						36	120	39	1									955	875	976	1018	1335	1295	203	144	3	130						
Kim ¤ LÞch HuyÕt Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle22.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	1									956	915	975	1218	1335	1295	203	144	4	1438	1275					
Kim ¤ LÞch HuyÕt Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash22.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	1									956	935	976	1178	1335	1295	203	144	5	1557	1275					
Kim ¤ LÞch HuyÕt Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth23.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	1									956	855	976	1018	1237	1295	203	144	6	1438	1275					
Kim ¤ LÞch HuyÕt B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	1									1278	895	1078	1198	1320	1295	203	144	7	1438	130					
Kim ¤ LÞch HuyÕt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes22.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	1									956	875	976	1018	1258	1295	203	144	8	1438	1275					
Kim ¤ LÞch HuyÕt Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist22.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(9)	3	99999	10	0																						36	120	39	1									955	915	975	1218	1335	1295	203	144	9	1558	1275					
Kim ¤ LÞch HuyÕt H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(10)	4	99999	10	0																						36	120	39	1									955	935	975	1178	1335	1295	203	144	10	130						
Kim ¤ V« ý Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck26.spr	36	2	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(1)	4	99999	10	0																						36	120	39	4									955	935	976	1178	998	1295	204	145	1	1560	1275					
Kim ¤ V« ý Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap22.spr	28	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	4									956	855	975	1018	1335	1295	204	145	2	1428	1275					
Kim ¤ V« ý Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring25.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(3)	2	99999	10	0																						36	120	39	4									955	895	976	1198	1335	1295	204	145	3	130						
Kim ¤ V« ý Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle23.spr	35	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	4									956	875	975	1018	1335	1295	204	145	4	1428	1735					
Kim ¤ V« ý Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash23.spr	33	2	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	4									956	915	976	1218	1335	1295	204	145	5	1561	1275					
Kim ¤ V« ý Sa Y	0	2	10	\spr\item\equip\armor\obj-fm-cloth23.spr	24	2	3	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	4									956	935	976	1178	1237	1295	204	145	6	1428	1275					
Kim ¤ V« ý Tr­êng KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(7)	0	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	4									1352	855	1078	1018	1335	1295	204	145	7	1428	130					
Kim ¤ V« ý Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes23.spr	27	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	4									956	895	976	1198	1258	1295	204	145	8	1428	1275					
Kim ¤ V« ý H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist27.spr	36	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(9)	1	99999	10	0																						36	120	39	4									955	875	975	1018	1335	1295	204	145	9	1562	1275					
Kim ¤ V« ý H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring26.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(10)	3	99999	10	0																						36	120	39	4									955	915	975	1218	1335	1295	204	145	10	130						
Kim ¤ Ng­ng S­¬ng Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck26.spr	36	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(1)	4	99999	10	0																						36	120	39	4									955	935	976	1178	998	1295	205	146	1	1564	1275					
Kim ¤ Ng­ng S­¬ng Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap22.spr	28	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	4									956	855	975	1018	1335	1295	205	146	2	1428	1275					
Kim ¤ Ng­ng S­¬ng Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring25.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(3)	2	99999	10	0																						36	120	39	4									955	895	976	1198	1335	1295	205	146	3	130						
Kim ¤ Ng­ng S­¬ng Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle23.spr	35	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	4									956	875	975	1018	1335	1295	205	146	4	1428	1275					
Kim ¤ Ng­ng S­¬ng Thóc Yªu	0	6	1	\spr\item\equip\sash\obj-sash23.spr	33	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	4									956	915	976	1218	1335	1295	205	146	5	1565	1275					
Kim ¤ Ng­ng S­¬ng Sam	0	2	10	\spr\item\equip\armor\obj-fm-cloth23.spr	24	2	3	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	4									956	935	976	1178	1237	1295	205	146	6	1428	1275					
Kim ¤ Ng­ng S­¬ng TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove02.spr	9	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(7)	0	99999	10	0	28	60	60	29	100	100	167	-30	-30	31	99	99										36	120	39	4									1358	855	1118	1018	1335	1295	205	146	7	1428	130					
Kim ¤ Ng­ng S­¬ng Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes23.spr	27	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	4									956	895	976	1198	1258	1295	205	146	8	1428	1736					
Kim ¤ Ng­ng S­¬ng H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist27.spr	36	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(9)	1	99999	10	0																						36	120	39	4									955	875	975	1018	1335	1295	205	146	9	1566	1275					
Kim ¤ Ng­ng S­¬ng H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring26.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(10)	3	99999	10	0																						36	120	39	4									955	915	975	1218	1335	1295	205	146	10	130						
Kim ¤ §inh H­¬ng Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck26.spr	36	2	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Kim ¤(1)	4	99999	10	0																						36	120	39	5									955	855	976	1018	998	1295	206	147	1	1568	1275					
